va,vb,exp,sim,sign_error,exp_error,man_error
14a8,45d4,1ec9,1ec8,False,0,1
6303,2ba0,52af,52ae,False,0,1
b254,1bb4,9218,9217,False,0,1
2217,f581,dc31,dc30,False,0,1
5b78,5e7c,7c00,7e0d,False,0,-525
9a81,f175,5070,506f,False,0,1
47c8,5d80,695a,6959,False,0,1
1527,cbaf,a4f3,a4f2,False,0,1
2c3c,d82e,c86d,c86c,False,0,1
c200,f8c9,7c00,7f2d,False,0,-813
9284,ee4c,4521,4520,False,0,1
e955,b9d1,67c1,67c0,False,0,1
a245,34f1,9bbf,9bbe,False,0,1
0b13,e297,b1d4,b1d3,False,0,1
84c3,9cc0,0006,0000,False,0,6
3dd8,6c54,6e53,6e52,False,0,1
7a38,82b9,c03c,c139,False,0,-253
00b2,62cb,20b9,27f9,False,-1,-832
5adb,4e20,6d40,6d3f,False,0,1
34e1,a56a,9e9b,9e9a,False,0,1
d8df,a4ad,41b2,41b1,False,0,1
7aeb,9664,d587,d586,False,0,1
34af,61cc,5aca,5ac9,False,0,1
c433,f3ba,7c00,7c0e,False,0,-14
ec07,08df,b8e8,b8e7,False,0,1
4e60,4373,55f0,55ef,False,0,1
2c69,2d82,1e13,1e12,False,0,1
2668,ed94,d878,d877,False,0,1
8f95,7730,cad0,cacf,False,0,1
56af,5ec4,79a7,79a6,False,0,1
3e84,bdec,c0d3,c0d2,False,0,1
c69e,0240,8b72,8d2b,False,-1,583
5708,5f02,7a29,7a28,False,0,1
cec9,d9b6,6cd8,6cd7,False,0,1
0ea9,af6e,8318,8000,False,0,792
4bef,1536,252b,252a,False,0,1
5f24,c638,e98d,e98c,False,0,1
1278,92d9,800b,8000,False,0,11
d504,3cc0,d5f5,d5f4,False,0,1
198f,4df2,2c22,2c21,False,0,1
abc0,4724,b6eb,b6ea,False,0,1
f056,b1db,6659,6658,False,0,1
9760,6736,c2a6,c2a5,False,0,1
480e,b5e0,c1f5,c1f4,False,0,1
4b36,3866,47ee,47ed,False,0,1
020b,cbed,900c,91fc,False,0,-496
5442,1b4e,33c7,33c6,False,0,1
04bc,34e4,0172,0000,False,0,370
